Season Number,Original Air Date,Startup Name,Industry,Business Description,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Invested Guest Name,All Guest Names,Number of Presenters,Male Presenters,Female Presenters,Pitchers Average Age,Pitchers City,Pitchers State
1,2021-12-20,BluePineFoods,Food and Beverage,Frozen Momos,50.0,5.0,1000.0,1,1.0,75.0,16.0,Ashneer Grover,Ashneer Grover,3,2.0,1.0,Middle,Delhi,Delhi
1,2021-12-20,BoozScooters,Vehicles/Electrical Vehicles,Renting e-bike for mobility in private spaces,40.0,15.0,267.0,1,1.0,40.0,50.0,Ashneer Grover,Ashneer Grover,1,1.0,,Young,Ahmedabad,Gujarat
1,2021-12-20,HeartUpMySleeves,Beauty/Fashion,Detachable Sleeves,25.0,10.0,250.0,1,1.0,25.0,30.0,,Ashneer Grover,1,,1.0,Young,Delhi,Delhi
1,2021-12-21,TagzFoods,Food and Beverage,Healthy Potato Chips Snacks,70.0,1.0,7000.0,1,1.0,70.0,2.75,Ashneer Grover,Ashneer Grover,2,2.0,,Middle,Bangalore,Karnataka
1,2021-12-21,HeadAndHeart,Children/Education,Brain Development Course,50.0,5.0,1000.0,0,,,,,Ashneer Grover,4,1.0,3.0,Middle,Patiala,Punjab
1,2021-12-21,Agritourism,Agriculture,Tourism,50.0,5.0,1000.0,0,,,,,Ashneer Grover,2,1.0,1.0,Middle,Baramati,Maharashtra
1,2021-12-22,qZenseLabs,Food and Beverage,Food Freshness Detector,100.0,0.25,40000.0,1,0.0,,,,Ashneer Grover,2,,2.0,Middle,"Delhi,Mohali","Delhi,Punjab"
1,2021-12-22,Peeschute,Beauty/Fashion,Disposable Urine Bag,75.0,4.0,1875.0,1,1.0,75.0,6.0,,Ashneer Grover,1,1.0,,Young,Jalna,Maharashtra
1,2021-12-22,NOCD,Food and Beverage,Energy Drink,50.0,2.0,2500.0,1,1.0,20.0,15.0,,Ashneer Grover,2,2.0,,Middle,Bangalore,Karnataka
1,2021-12-23,CosIQ,Beauty/Fashion,Intelligent Skincare,50.0,7.5,667.0,1,1.0,50.0,25.0,,Ashneer Grover,2,1.0,1.0,Middle,Delhi,Delhi
1,2021-12-23,JhaJiAchaar,Food and Beverage,Pickle,50.0,10.0,500.0,1,1.0,56.6,5.62,,Ashneer Grover,2,,2.0,Old,Darbhanga,Bihar
1,2021-12-23,Bummer,Beauty/Fashion,Underwear,75.0,4.0,1875.0,1,1.0,75.0,7.5,,Ashneer Grover,1,1.0,,Young,Ahmedabad,Gujarat
1,2021-12-24,RevampMoto,Vehicles/Electrical Vehicles,E-Bike Mitra bud-e RM,100.0,1.0,10000.0,1,1.0,100.0,1.5,,Ashneer Grover,3,3.0,,Young,Nashik,Maharashtra
1,2021-12-24,HungryHead,Food and Beverage,Restaurant serving 80 types of Maggi,50.0,5.0,1000.0,0,,,,,Ashneer Grover,2,2.0,,Middle,Mumbai,Maharashtra
1,2021-12-24,ShrawaniEngineers,Beauty/Fashion,Belly Button Shaper,20.0,10.0,200.0,0,,,,,Ashneer Grover,2,1.0,1.0,Middle,Nagpur,Maharashtra
1,2021-12-27,SkippiIcePops,Food and Beverage,Ice-Pops,45.0,5.0,900.0,1,1.0,100.0,15.0,Ashneer Grover,Ashneer Grover,2,1.0,1.0,Middle,Hyderabad,Telangana
1,2021-12-27,Menstrupedia,Children/Education,Menstrual Awareness Comic,50.0,10.0,500.0,1,1.0,50.0,20.0,,Ashneer Grover,2,1.0,1.0,Middle,Ahmedabad,Gujarat
1,2021-12-27,Hecoll,Beauty/Fashion,Pollution Resistant Fabric - Healthy Cover For All,100.0,1.0,10000.0,0,,,,,Ashneer Grover,1,,1.0,Middle,Hyderabad,Telangana
